Country,Suicide_rate,ISO-code,Urbanization_rate,Fertility,Life_expectancy,Meat_consumption,Median_age,Population_growth,Sex-ratio,GDP_per_capita,Continent,Population
Honduras,3.4,HND,58.4,2.5,75.1,24.7,23,2.03,0.95,5600,North America,9904608
Hungary,13.6,HUN,71.9,1.6,76.7,100.7,42.3,-0.28,0.91,35941,Europe,9660350
Iceland,13.3,ISL,93.9,1.7,82.9,84.8,36.5,0.35,1,56974,Europe,341250
India,16.5,IND,34.9,2.2,69.4,5.2,28.1,1.26,1.08,9027,Asia,1380004385
Indonesia,3.7,IDN,56.6,2.3,71.5,8.3,30.2,1.25,1,14841,Asia,273523621
Iran,4,IRN,75.9,2.9,76.5,23.1,30.3,1.32,1.03,17832,Asia,83992953
Iraq,4.1,IRQ,70.9,3.7,70.5,18.2,20,2.54,1.01,18755,Asia,40222503
Ireland,10.9,IRL,63.7,1.8,82.1,106.3,36.8,0.26,1,86988,Europe,4937796
Israel,5.2,ISR,92.6,2.4,82.8,97.1,29.9,1.81,1.01,40337,Asia,8655541
Italy,5.5,ITA,71,1.3,83.6,90.4,45.5,0.32,0.93,41582,Europe,60461828
Jamaica,2,JAM,56.3,2,74.4,56.8,26,0.21,0.98,9932,North America,2961161
Japan,14.3,JPN,91.8,1.4,84.5,45.9,47.3,-0.2,0.94,46827,Asia,126476458
Jordan,3.7,JOR,91.4,2.8,74.4,29.8,22.5,2.19,1.11,9939,Asia,10203140
Kazakhstan,22.8,KAZ,57.7,2.8,73.2,44.8,30.6,1.43,0.91,30178,Asia,18776707
Kenya,5.6,KEN,28,3.5,63.3,14.3,19.7,2.7,1,4078,Africa,53771300
Kiribati,15.2,KIR,55.6,3.6,68.1,32.1,24.6,1.54,0.94,2193,Oceania,0
Kyrgyzstan,9.1,KGZ,36.9,3.3,71.3,39,26.5,1.22,0.96,4193,Asia,6524191
Laos,9.3,LAO,36.3,2.7,67.6,15,23,1.89,0.99,8684,Asia,7275556
Latvia,17.2,LVA,68.3,1.6,75.2,45.7,43.6,-1.6,0.86,32987,Europe,1886202
Lebanon,3.2,LBN,88.9,2.1,78.9,63.1,30.5,0.96,1,15599,Asia,6825442
Lesotho,28.9,LSO,29,3.1,53.7,15.4,24.2,1.08,0.98,3655,Africa,2142252
Liberia,13.4,LBR,52.1,4.3,63.7,7.9,17.8,2.68,1,1428,Africa,5057677
Libya,5.5,LBY,80.7,2.2,72.7,28.6,28.9,0.84,1.05,9446,Africa,6871287
Lithuania,25.7,LTU,68,1.6,75.7,49.5,43.7,-1.48,0.86,38751,Europe,2722291
Luxembourg,10.4,LUX,91.5,1.4,82.1,141.7,39.3,2.49,1.02,112045,Europe,625976
Madagascar,6.9,MDG,38.5,4.1,66.7,17.6,19.7,2.8,1,1776,Africa,27691019
Malawi,7.8,MWI,17.4,4.2,63.8,5.1,16.5,2.86,0.98,1292,Africa,19129955
Malaysia,6.2,MYS,77.2,2,76.1,50.9,28.5,1.66,1.03,34567,Asia,32365998
Maldives,2.7,MDV,40.7,1.9,0,16.6,28.2,1.93,1.13,24796,Asia,540542
Mali,8.9,MLI,43.9,5.9,58.9,19,15.8,2.99,0.95,2569,Africa,20250834
Malta,6.5,MLT,94.7,1.2,82.4,86.9,41.8,0.4,1.01,49589,Europe,441539
Mauritania,7.5,MRT,55.3,4.6,64.7,29.9,20.5,2.49,0.93,5158,Africa,4649660
Mauritius,7.3,MUS,40.8,1.4,74.9,39.6,35.3,0.42,0.96,26461,Africa,1271767
Mexico,5.2,MEX,80.7,2.1,75,58.6,28.3,1.24,0.96,21363,North America,128932753
Moldova,13.4,MDA,42.8,1.3,71.8,22.7,36.7,-0.04,0.96,8161,Europe,4033963
Mongolia,13.3,MNG,68.7,2.9,69.7,108.8,28.3,1.52,0.95,15089,Asia,3278292
Montenegro,7.9,MNE,67.5,1.7,76.8,0,40.7,0.07,0.97,21977,Europe,628062
Morocco,3.1,MAR,63.5,3.1,76.5,20.6,29.3,1.43,1,9667,Africa,36910558
Mozambique,8.4,MOZ,37.1,4.9,60.2,5.6,17.2,2.5,0.97,1372,Africa,31255435
